                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4975,                 2.6924,                 1.4168,                0.67194,                 0.5669,                0.66623,                0.40243,                 1.3126,                 1.8853,                 1.3076,             0.00035975,             0.00035975,             0.00035975
                      2,                 1.4258,                 1.3444,                 1.3921,                0.70846,                0.66425,                0.74823,                0.40513,                 1.4418,                 1.5518,                 1.4158,             0.00072286,             0.00072286,             0.00072286
                      3,                 1.4146,                 1.1206,                 1.3488,                0.50647,                0.57663,                0.53223,                0.28704,                 1.6111,                 1.7929,                 1.6904,              0.0010786,              0.0010786,              0.0010786
                      4,                  1.432,                 1.1017,                 1.4122,                0.54272,                0.64106,                0.61051,                0.33527,                 1.4981,                 1.4312,                 1.5492,               0.001078,               0.001078,               0.001078
                      5,                 1.4162,                 1.1584,                 1.3762,                0.75846,                0.63111,                0.67688,                0.41354,                 1.3645,                 1.1986,                 1.4131,               0.001078,               0.001078,               0.001078
                      6,                 1.3897,                 1.0378,                 1.3614,                0.82602,                0.68733,                0.80179,                0.46668,                 1.4014,                 1.1514,                 1.5121,               0.001067,               0.001067,               0.001067
                      7,                 1.3778,                0.98346,                 1.3694,                0.82941,                0.74977,                0.83267,                0.48633,                 1.3991,                  1.028,                   1.44,               0.001056,               0.001056,               0.001056
                      8,                 1.3128,                0.91375,                 1.3099,                0.78871,                0.73983,                0.78633,                 0.4769,                 1.3516,                 1.0289,                 1.4149,               0.001045,               0.001045,               0.001045
                      9,                 1.3735,                0.97239,                  1.352,                0.78217,                0.80021,                0.83807,                0.49284,                 1.3568,                0.94412,                  1.384,               0.001034,               0.001034,               0.001034
                     10,                 1.3385,                0.89671,                 1.3195,                0.85494,                0.75754,                0.84781,                0.52125,                 1.3114,                0.91407,                 1.3867,               0.001023,               0.001023,               0.001023
                     11,                 1.3299,                0.86598,                 1.3191,                0.88621,                0.75615,                0.85109,                0.49292,                 1.3384,                0.89816,                 1.4003,               0.001012,               0.001012,               0.001012
                     12,                 1.2914,                0.87411,                 1.3126,                 0.7626,                0.79565,                0.82869,                0.48785,                 1.3535,                0.93764,                 1.3708,               0.001001,               0.001001,               0.001001
                     13,                  1.339,                0.85969,                 1.3032,                0.85999,                0.81531,                0.86255,                0.51177,                 1.3821,                0.85781,                 1.3995,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.2954,                0.85148,                 1.2825,                0.85145,                0.83401,                0.87833,                 0.5373,                 1.3299,                0.77342,                 1.3823,             0.00097901,             0.00097901,             0.00097901
                     15,                 1.2614,                0.80205,                 1.2705,                0.83309,                0.84439,                0.87204,                0.52946,                 1.3263,                0.81906,                 1.3733,             0.00096801,             0.00096801,             0.00096801
                     16,                 1.2348,                0.77777,                 1.2529,                 0.8907,                0.81533,                0.87881,                0.55178,                 1.2628,                0.78155,                 1.3252,             0.00095702,             0.00095702,             0.00095702
                     17,                 1.2648,                0.80568,                 1.2842,                0.89474,                0.83828,                0.90106,                0.56746,                 1.2723,                0.74622,                 1.3157,             0.00094602,             0.00094602,             0.00094602
                     18,                 1.2512,                0.77784,                 1.2587,                0.88248,                0.82354,                0.88284,                0.54766,                 1.3418,                 0.7499,                 1.3686,             0.00093502,             0.00093502,             0.00093502
                     19,                 1.2425,                0.78725,                 1.2458,                0.84394,                0.84024,                 0.8584,                0.52961,                 1.2788,                0.77061,                 1.3479,             0.00092402,             0.00092402,             0.00092402
                     20,                 1.2296,                0.75497,                 1.2695,                0.80813,                0.82592,                0.81846,                0.50983,                 1.3169,                0.88522,                 1.3614,             0.00091302,             0.00091302,             0.00091302
                     21,                 1.2143,                0.74646,                 1.2605,                0.87701,                0.83664,                0.87939,                0.54481,                 1.3082,                0.77733,                 1.3708,             0.00090202,             0.00090202,             0.00090202
                     22,                 1.2401,                0.75383,                  1.255,                0.84491,                0.88268,                0.88632,                0.54207,                 1.2643,                0.74607,                 1.3357,             0.00089102,             0.00089102,             0.00089102
                     23,                 1.2109,                0.73843,                  1.249,                0.88502,                0.86626,                0.90569,                0.57024,                 1.2561,                0.69817,                 1.3288,             0.00088002,             0.00088002,             0.00088002
                     24,                 1.2092,                0.73772,                  1.248,                0.86393,                0.83684,                0.87979,                0.54681,                 1.3249,                0.78432,                 1.3631,             0.00086902,             0.00086902,             0.00086902
                     25,                 1.2049,                0.74116,                 1.2289,                0.90846,                0.84075,                0.90688,                0.57086,                 1.2542,                0.70946,                 1.3237,             0.00085803,             0.00085803,             0.00085803
                     26,                 1.2587,                0.97084,                 1.3135,                0.88715,                0.85084,                0.90532,                0.55447,                 1.3012,                0.71742,                 1.3461,             0.00084703,             0.00084703,             0.00084703
                     27,                 1.1582,                0.69317,                 1.1964,                0.87373,                0.86332,                0.90251,                0.57256,                 1.2452,                 0.6936,                 1.3217,             0.00083603,             0.00083603,             0.00083603
                     28,                 1.1684,                0.68044,                   1.22,                0.88328,                0.86995,                0.90282,                0.59395,                 1.2471,                0.67038,                 1.3099,             0.00082503,             0.00082503,             0.00082503
                     29,                  1.167,                0.69881,                 1.2196,                0.92037,                 0.8451,                0.89379,                0.58375,                  1.274,                0.70263,                 1.3351,             0.00081403,             0.00081403,             0.00081403
                     30,                 1.1323,                0.66326,                 1.1925,                0.86049,                0.85747,                0.89832,                0.57394,                 1.2601,                 0.6796,                 1.3439,             0.00080303,             0.00080303,             0.00080303
                     31,                 1.1693,                0.68304,                 1.2145,                0.88373,                0.85653,                  0.897,                 0.5814,                 1.2436,                0.70581,                 1.3223,             0.00079203,             0.00079203,             0.00079203
                     32,                 1.1586,                0.65971,                 1.2234,                0.85591,                 0.8778,                 0.8916,                0.57557,                 1.2606,                  0.695,                   1.31,             0.00078103,             0.00078103,             0.00078103
                     33,                 1.1585,                0.67707,                 1.2039,                0.87117,                 0.8642,                0.90071,                0.56327,                 1.2623,                0.68595,                 1.3237,             0.00077003,             0.00077003,             0.00077003
                     34,                  1.187,                0.66641,                 1.2342,                0.91164,                0.84552,                0.89676,                0.57626,                 1.2402,                0.68389,                 1.2991,             0.00075904,             0.00075904,             0.00075904
                     35,                 1.1773,                0.70279,                 1.2299,                0.90534,                0.82248,                0.88742,                0.57984,                 1.2508,                0.71878,                 1.3176,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.1189,                0.64676,                 1.1838,                0.89456,                0.84699,                0.90276,                0.57209,                 1.2885,                0.67215,                 1.3441,             0.00073704,             0.00073704,             0.00073704
                     37,                 1.1166,                0.65111,                 1.1912,                0.91597,                0.85846,                0.91181,                0.59221,                 1.2353,                0.63366,                 1.2953,             0.00072604,             0.00072604,             0.00072604
                     38,                 1.1131,                0.64107,                 1.1817,                0.89703,                0.87701,                0.90959,                0.59259,                 1.2446,                 0.6535,                 1.3138,             0.00071504,             0.00071504,             0.00071504
                     39,                 1.1455,                0.66273,                 1.2142,                0.88555,                0.85342,                 0.9157,                0.56776,                 1.2988,                0.68079,                 1.3564,             0.00070404,             0.00070404,             0.00070404
                     40,                 1.1112,                0.64579,                 1.1852,                0.88037,                0.87216,                0.90267,                0.58153,                 1.2503,                0.67642,                 1.3096,             0.00069304,             0.00069304,             0.00069304
                     41,                  1.062,                0.64297,                 1.1422,                0.87911,                0.85298,                 0.8982,                0.57983,                 1.2321,                0.66793,                 1.2784,             0.00068204,             0.00068204,             0.00068204
                     42,                 1.1103,                0.64143,                 1.1804,                0.89338,                0.85313,                0.90237,                0.58749,                 1.2685,                0.67163,                 1.3122,             0.00067104,             0.00067104,             0.00067104
                     43,                 1.0888,                0.59683,                 1.1675,                0.87778,                0.86441,                 0.8946,                0.57999,                 1.2463,                 0.6819,                 1.2901,             0.00066005,             0.00066005,             0.00066005
                     44,                 1.0961,                0.60975,                 1.1886,                0.85286,                0.84189,                0.90015,                0.58842,                 1.2344,                0.67098,                 1.2905,             0.00064905,             0.00064905,             0.00064905
                     45,                 1.0953,                0.61215,                 1.1794,                0.86802,                0.86506,                0.90249,                0.58828,                 1.2541,                0.66338,                 1.3085,             0.00063805,             0.00063805,             0.00063805
                     46,                 1.0875,                0.62496,                  1.173,                0.89941,                0.84295,                0.90489,                0.57926,                 1.2626,                0.67611,                 1.3158,             0.00062705,             0.00062705,             0.00062705
                     47,                 1.0572,                0.61542,                 1.1539,                0.91023,                0.86798,                0.90575,                0.58345,                 1.2659,                0.64032,                 1.3046,             0.00061605,             0.00061605,             0.00061605
                     48,                 1.0727,                0.59541,                 1.1675,                0.88392,                0.85265,                0.89683,                0.56732,                 1.2783,                0.67317,                 1.3431,             0.00060505,             0.00060505,             0.00060505
                     49,                 1.0493,                0.58438,                 1.1382,                0.90042,                0.85585,                0.90359,                0.57605,                 1.2794,                0.67211,                 1.3416,             0.00059405,             0.00059405,             0.00059405
                     50,                 1.0723,                0.60296,                  1.165,                0.90552,                0.87283,                0.91302,                0.57644,                 1.2619,                0.63392,                 1.3373,             0.00058305,             0.00058305,             0.00058305
                     51,                 1.0755,                0.59926,                 1.1671,                0.88551,                0.88113,                0.90544,                0.59512,                 1.2486,                 0.6643,                 1.3092,             0.00057205,             0.00057205,             0.00057205
                     52,                  1.025,                0.57494,                 1.1365,                0.86162,                0.87775,                0.89131,                0.58196,                 1.2667,                0.67605,                 1.3143,             0.00056105,             0.00056105,             0.00056105
                     53,                 1.0328,                0.57421,                 1.1399,                0.88877,                 0.8649,                0.89313,                0.58398,                 1.2461,                0.66849,                 1.2997,             0.00055006,             0.00055006,             0.00055006
                     54,                 1.0444,                0.60728,                 1.1415,                0.90249,                0.85022,                0.89526,                0.57931,                 1.2735,                0.65737,                 1.3329,             0.00053906,             0.00053906,             0.00053906
                     55,                 1.0112,                0.56556,                 1.1312,                0.91157,                 0.8531,                0.89374,                0.58842,                 1.2457,                0.66016,                 1.3101,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.0321,                0.57105,                  1.136,                0.90857,                0.84911,                0.90315,                0.58845,                 1.2521,                0.64726,                 1.3137,             0.00051706,             0.00051706,             0.00051706
                     57,                 1.0235,                 0.5625,                 1.1251,                0.90822,                0.83971,                0.90163,                0.58958,                  1.261,                 0.6587,                 1.3134,             0.00050606,             0.00050606,             0.00050606
                     58,                 1.0263,                0.59314,                 1.1648,                0.88112,                0.87859,                0.89712,                0.59419,                 1.2269,                0.65669,                 1.2857,             0.00049506,             0.00049506,             0.00049506
                     59,                   1.01,                0.57834,                 1.1326,                0.89726,                0.84698,                0.90552,                0.59711,                 1.2365,                0.64183,                 1.2893,             0.00048406,             0.00048406,             0.00048406
                     60,                 1.0693,                0.74207,                 1.2036,                0.90942,                0.84048,                0.90435,                0.58186,                 1.2548,                0.64578,                 1.3138,             0.00047306,             0.00047306,             0.00047306
                     61,                 1.0149,                0.55441,                 1.1339,                0.88887,                0.84979,                0.88803,                0.57218,                 1.2674,                0.64335,                 1.3299,             0.00046206,             0.00046206,             0.00046206
                     62,                0.99352,                0.55307,                 1.1206,                0.89193,                0.86654,                0.90356,                 0.5885,                 1.2573,                0.65093,                 1.3254,             0.00045107,             0.00045107,             0.00045107
                     63,                 1.0001,                  0.545,                 1.1227,                0.89281,                 0.8627,                0.90584,                0.59174,                 1.2375,                0.65655,                 1.3021,             0.00044007,             0.00044007,             0.00044007
                     64,                0.98484,                0.53704,                 1.1106,                 0.8547,                0.86754,                0.88994,                0.57758,                 1.2667,                 0.6715,                  1.323,             0.00042907,             0.00042907,             0.00042907
                     65,                0.97746,                0.53582,                 1.1226,                0.90722,                0.84719,                0.90201,                0.59376,                 1.2423,                0.67389,                 1.3155,             0.00041807,             0.00041807,             0.00041807
                     66,                0.97286,                0.53858,                  1.107,                0.92312,                0.82232,                0.90113,                0.58833,                 1.2704,                0.64786,                  1.353,             0.00040707,             0.00040707,             0.00040707
                     67,                0.95749,                 0.5464,                 1.1108,                0.88992,                0.85737,                0.90119,                0.58221,                 1.2618,                0.62363,                 1.3383,             0.00039607,             0.00039607,             0.00039607
                     68,                0.93817,                0.51923,                 1.0916,                0.88125,                0.88182,                0.91021,                0.59285,                 1.2457,                0.60609,                 1.3168,             0.00038507,             0.00038507,             0.00038507
                     69,                0.95599,                0.52565,                 1.1065,                0.89086,                  0.847,                0.89291,                 0.5901,                 1.2436,                0.62542,                 1.3155,             0.00037407,             0.00037407,             0.00037407
                     70,                0.96969,                0.51458,                 1.1013,                0.88264,                0.86384,                0.90854,                0.58431,                 1.2389,                0.62991,                 1.3193,             0.00036307,             0.00036307,             0.00036307
                     71,                0.95335,                0.51265,                 1.0873,                0.88392,                0.85696,                0.90051,                0.59402,                 1.2494,                0.61152,                 1.3226,             0.00035208,             0.00035208,             0.00035208
                     72,                0.95689,                0.54254,                 1.1164,                0.87963,                0.87022,                0.90239,                0.59286,                  1.228,                0.61628,                 1.3234,             0.00034108,             0.00034108,             0.00034108
                     73,                0.92487,                0.53458,                 1.0632,                0.89271,                0.86417,                0.90772,                0.59348,                 1.2439,                0.61933,                 1.3396,             0.00033008,             0.00033008,             0.00033008
                     74,                0.91241,                0.49241,                 1.0791,                0.89338,                0.86865,                0.90127,                0.59438,                 1.2418,                0.62724,                 1.3172,             0.00031908,             0.00031908,             0.00031908
                     75,                0.90835,                0.55678,                  1.083,                0.91165,                0.83701,                0.91304,                 0.5954,                 1.2556,                0.65097,                  1.327,             0.00030808,             0.00030808,             0.00030808
                     76,                0.92675,                0.49408,                 1.0925,                0.87984,                0.86963,                0.91279,                0.60282,                 1.2435,                0.61199,                 1.3113,             0.00029708,             0.00029708,             0.00029708
                     77,                0.94383,                0.50612,                 1.1009,                0.89163,                0.85989,                0.90559,                0.59317,                 1.2485,                0.62756,                 1.3273,             0.00028608,             0.00028608,             0.00028608
                     78,                0.90069,                0.49674,                 1.0715,                0.88481,                0.85541,                0.90504,                0.59301,                 1.2516,                0.63149,                 1.3289,             0.00027508,             0.00027508,             0.00027508
                     79,                0.92424,                0.49347,                 1.0827,                0.88593,                 0.8674,                0.90066,                0.59682,                 1.2201,                0.65748,                 1.3164,             0.00026408,             0.00026408,             0.00026408
                     80,                0.90667,                0.48121,                 1.0776,                0.88602,                0.86502,                0.89789,                0.59639,                 1.2278,                0.63638,                 1.3088,             0.00025309,             0.00025309,             0.00025309
