                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4607,                 2.5374,                 1.4281,                0.72242,                0.79697,                0.76746,                0.46903,                 1.2825,                  1.414,                 1.3401,             0.00036108,             0.00036108,             0.00036108
                      2,                 1.4321,                 1.2496,                 1.3892,                0.63486,                0.79583,                0.76955,                0.44906,                 1.3042,                 1.5576,                 1.3756,             0.00072417,             0.00072417,             0.00072417
                      3,                 1.4183,                 1.1522,                  1.397,                0.63106,                0.68411,                0.67285,                0.38203,                 1.3671,                 1.5024,                 1.4688,              0.0010799,              0.0010799,              0.0010799
                      4,                 1.4154,                 1.0827,                  1.399,                0.70308,                0.70501,                0.74661,                0.42117,                 1.4627,                 1.1271,                  1.506,               0.001078,               0.001078,               0.001078
                      5,                 1.3893,                 1.0904,                 1.3828,                0.76361,                0.65112,                0.75563,                0.47478,                 1.3473,                 1.3303,                 1.4466,               0.001078,               0.001078,               0.001078
                      6,                 1.3738,                  1.006,                  1.389,                0.77899,                0.64721,                0.76551,                0.43619,                 1.3869,                 1.1933,                 1.4846,               0.001067,               0.001067,               0.001067
                      7,                 1.3534,                0.99026,                 1.3858,                0.79817,                0.75938,                0.81933,                0.47561,                 1.3901,                 1.0535,                 1.5109,               0.001056,               0.001056,               0.001056
                      8,                 1.3677,                0.99653,                 1.4007,                  0.819,                0.81587,                0.85538,                0.51122,                 1.3448,                0.92412,                  1.438,               0.001045,               0.001045,               0.001045
                      9,                 1.3247,                0.93001,                 1.3427,                0.73211,                0.78994,                0.82697,                0.47912,                 1.3436,                0.94575,                  1.439,               0.001034,               0.001034,               0.001034
                     10,                 1.3074,                0.88437,                 1.3404,                0.80119,                0.82704,                0.84764,                0.51665,                 1.3349,                0.93552,                  1.412,               0.001023,               0.001023,               0.001023
                     11,                 1.3182,                0.85715,                 1.3405,                0.80355,                0.82849,                0.85036,                 0.5195,                 1.3249,                0.85814,                 1.4159,               0.001012,               0.001012,               0.001012
                     12,                 1.3322,                0.87086,                 1.3456,                 0.8477,                0.82104,                0.87898,                0.54639,                 1.2748,                0.85915,                 1.3661,               0.001001,               0.001001,               0.001001
                     13,                 1.3025,                 0.8297,                 1.3224,                0.83527,                 0.7904,                0.86604,                0.54099,                 1.3128,                0.81574,                 1.4062,             0.00099001,             0.00099001,             0.00099001
                     14,                  1.291,                0.83133,                 1.3227,                0.87575,                0.83239,                0.88986,                0.54087,                 1.2924,                0.76129,                 1.4251,             0.00097901,             0.00097901,             0.00097901
                     15,                 1.2731,                0.81892,                 1.3176,                0.85464,                0.79892,                 0.8796,                0.55293,                 1.2588,                0.79697,                 1.3608,             0.00096801,             0.00096801,             0.00096801
                     16,                 1.2542,                0.79405,                 1.2883,                0.85355,                0.83727,                0.87646,                0.54373,                 1.2576,                0.76453,                  1.364,             0.00095702,             0.00095702,             0.00095702
                     17,                 1.2634,                0.80924,                 1.2942,                0.84126,                0.84191,                0.87805,                0.53814,                 1.2839,                 0.7758,                 1.3597,             0.00094602,             0.00094602,             0.00094602
                     18,                 1.2537,                0.79621,                 1.2977,                0.88472,                0.82375,                0.88707,                 0.5619,                 1.2742,                0.75809,                 1.3694,             0.00093502,             0.00093502,             0.00093502
                     19,                 1.2316,                0.78243,                 1.2832,                0.85351,                0.84589,                0.86976,                0.56211,                 1.2236,                0.77053,                 1.3259,             0.00092402,             0.00092402,             0.00092402
                     20,                 1.2496,                0.77366,                 1.2864,                0.89542,                0.83547,                0.90232,                0.56004,                 1.2878,                0.74006,                 1.3568,             0.00091302,             0.00091302,             0.00091302
                     21,                 1.2352,                0.74856,                 1.2808,                0.89205,                0.84935,                0.89776,                0.56626,                 1.2671,                0.75082,                 1.3702,             0.00090202,             0.00090202,             0.00090202
                     22,                 1.2342,                0.75245,                 1.2789,                0.90677,                0.86202,                0.91957,                0.58967,                 1.2213,                0.69041,                 1.3494,             0.00089102,             0.00089102,             0.00089102
                     23,                 1.2266,                0.75883,                 1.2906,                0.88035,                0.84868,                0.91054,                0.59515,                 1.2215,                0.70867,                 1.3193,             0.00088002,             0.00088002,             0.00088002
                     24,                 1.2357,                0.74377,                 1.2776,                0.85743,                0.85886,                0.89588,                0.56754,                 1.2587,                0.72158,                 1.3263,             0.00086902,             0.00086902,             0.00086902
                     25,                 1.1898,                0.73082,                 1.2427,                 0.8793,                 0.8556,                0.90689,                0.59147,                 1.1982,                0.69353,                 1.3115,             0.00085803,             0.00085803,             0.00085803
                     26,                 1.2092,                 0.7322,                 1.2814,                0.86218,                0.83884,                0.89787,                0.57666,                 1.2906,                0.73768,                 1.3751,             0.00084703,             0.00084703,             0.00084703
                     27,                 1.1935,                0.70338,                 1.2666,                0.86285,                 0.8623,                0.89778,                0.58047,                 1.2469,                 0.7048,                 1.3248,             0.00083603,             0.00083603,             0.00083603
                     28,                 1.1862,                0.69922,                 1.2412,                0.90689,                0.85655,                0.90144,                0.57674,                 1.2694,                0.69335,                 1.3534,             0.00082503,             0.00082503,             0.00082503
                     29,                 1.1906,                0.70976,                 1.2517,                0.90115,                0.84589,                0.89452,                0.58282,                 1.2292,                0.68629,                 1.3323,             0.00081403,             0.00081403,             0.00081403
                     30,                 1.1721,                0.67843,                 1.2281,                0.91301,                0.85331,                0.91092,                  0.586,                  1.252,                 0.6782,                 1.3264,             0.00080303,             0.00080303,             0.00080303
                     31,                 1.1492,                0.67454,                 1.2279,                 0.8919,                0.83932,                0.90181,                0.56987,                 1.2485,                0.68993,                 1.3284,             0.00079203,             0.00079203,             0.00079203
                     32,                 1.1493,                0.67515,                 1.2202,                0.89437,                0.86558,                0.91459,                0.59551,                 1.2386,                0.68718,                 1.3263,             0.00078103,             0.00078103,             0.00078103
                     33,                 1.1519,                0.67103,                 1.2357,                0.88391,                0.85854,                0.90443,                0.57459,                 1.2444,                0.66729,                 1.3542,             0.00077003,             0.00077003,             0.00077003
                     34,                 1.1407,                0.66749,                 1.2243,                0.91627,                0.85503,                0.90428,                0.58864,                 1.2292,                0.66327,                 1.3331,             0.00075904,             0.00075904,             0.00075904
                     35,                 1.1476,                0.66654,                 1.2281,                0.88489,                0.85905,                0.90295,                 0.5856,                 1.2474,                0.72021,                 1.3467,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.1308,                0.66299,                 1.2104,                0.88336,                0.87443,                0.90635,                0.58346,                 1.2353,                 0.6665,                 1.3447,             0.00073704,             0.00073704,             0.00073704
                     37,                 1.1361,                0.64565,                 1.2263,                0.87036,                0.88002,                0.90521,                0.57319,                 1.2701,                0.65329,                 1.3527,             0.00072604,             0.00072604,             0.00072604
                     38,                 1.1301,                0.64614,                 1.2171,                0.88095,                0.87572,                0.91462,                0.58984,                 1.2535,                0.64259,                 1.3337,             0.00071504,             0.00071504,             0.00071504
                     39,                 1.1258,                0.63891,                 1.2007,                0.89242,                0.86884,                0.90994,                0.58633,                 1.2223,                0.65484,                 1.3297,             0.00070404,             0.00070404,             0.00070404
                     40,                 1.0985,                0.64553,                 1.2008,                0.88698,                0.86648,                0.90257,                 0.5891,                 1.2169,                0.64551,                 1.3305,             0.00069304,             0.00069304,             0.00069304
                     41,                 1.1126,                 0.6269,                 1.1962,                0.89837,                0.87143,                0.90881,                0.60005,                 1.2344,                0.63201,                 1.3372,             0.00068204,             0.00068204,             0.00068204
                     42,                 1.0869,                0.61154,                 1.1854,                0.89174,                0.85671,                0.90614,                0.58665,                 1.2338,                0.64947,                 1.3369,             0.00067104,             0.00067104,             0.00067104
                     43,                 1.1185,                0.61325,                 1.2107,                0.88248,                0.87118,                0.91832,                0.60782,                 1.2125,                0.63073,                  1.307,             0.00066005,             0.00066005,             0.00066005
                     44,                  1.109,                0.63188,                 1.2062,                0.87454,                0.86607,                0.90838,                 0.5894,                 1.2258,                0.64627,                 1.2997,             0.00064905,             0.00064905,             0.00064905
                     45,                 1.0744,                0.61145,                 1.1776,                0.88953,                0.87476,                0.91502,                0.59129,                 1.2301,                0.64347,                 1.3327,             0.00063805,             0.00063805,             0.00063805
                     46,                 1.0761,                0.60663,                 1.1913,                 0.8795,                0.88652,                0.91256,                 0.5912,                  1.256,                 0.6317,                 1.3629,             0.00062705,             0.00062705,             0.00062705
                     47,                 1.0671,                0.59822,                 1.1807,                0.91249,                0.86729,                0.91588,                 0.5898,                 1.2271,                0.64185,                 1.3469,             0.00061605,             0.00061605,             0.00061605
                     48,                 1.0666,                0.59542,                 1.1959,                0.90424,                0.87896,                0.91128,                0.59696,                 1.2323,                0.63776,                 1.3345,             0.00060505,             0.00060505,             0.00060505
                     49,                 1.0797,                0.59154,                 1.1773,                0.90695,                0.86457,                0.91508,                0.59598,                 1.2308,                0.63776,                  1.335,             0.00059405,             0.00059405,             0.00059405
