                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2885,                 2.4539,                 1.4501,                0.82721,                0.72957,                0.81868,                 0.6011,                 1.0698,                  1.004,                 1.2694,              0.0001007,              0.0001007,              0.0001007
                      2,                 1.1873,                 1.1079,                 1.3089,                0.77659,                0.75349,                0.80777,                0.58728,                 1.0773,                0.88446,                 1.2641,              0.0001997,              0.0001997,              0.0001997
                      3,                  1.189,                0.98097,                 1.3114,                0.78504,                0.81243,                0.85547,                0.62822,                 1.0877,                0.80094,                 1.2722,              0.0002967,              0.0002967,              0.0002967
                      4,                 1.1719,                0.91843,                 1.3014,                0.82619,                0.82711,                0.88252,                0.66728,                 1.0338,                0.70815,                 1.2369,               0.000294,               0.000294,               0.000294
                      5,                 1.1514,                0.84651,                 1.2833,                0.77428,                0.87493,                0.88974,                0.66709,                 1.0305,                 0.7388,                  1.234,               0.000294,               0.000294,               0.000294
                      6,                 1.1263,                0.80019,                 1.2684,                0.77468,                0.91929,                0.89944,                0.66511,                 1.0429,                0.66132,                 1.2153,               0.000291,               0.000291,               0.000291
                      7,                 1.1222,                0.78207,                 1.2635,                0.83587,                0.94424,                0.93929,                0.70784,                 1.0168,                0.59441,                 1.2155,               0.000288,               0.000288,               0.000288
                      8,                 1.1063,                0.74896,                 1.2557,                0.86681,                 0.9103,                0.92635,                0.69759,                 1.0199,                0.61562,                 1.2003,               0.000285,               0.000285,               0.000285
                      9,                 1.0865,                0.71985,                 1.2413,                0.86407,                0.91151,                0.93256,                0.70436,                 1.0094,                0.59305,                 1.2023,               0.000282,               0.000282,               0.000282
                     10,                 1.0749,                 0.7023,                 1.2377,                0.88888,                0.91424,                0.93163,                0.71289,                 0.9983,                0.57155,                 1.1883,               0.000279,               0.000279,               0.000279
                     11,                 1.0704,                0.68092,                 1.2335,                0.89942,                0.89798,                0.92638,                0.71515,                 1.0026,                0.56669,                  1.211,               0.000276,               0.000276,               0.000276
                     12,                 1.0597,                0.67332,                 1.2238,                0.87234,                0.89699,                0.93219,                0.70667,                 1.0235,                0.55623,                 1.2064,               0.000273,               0.000273,               0.000273
                     13,                 1.0542,                0.66084,                 1.2141,                0.86872,                0.92175,                0.93315,                 0.7155,                0.99753,                 0.5474,                  1.176,                0.00027,                0.00027,                0.00027
                     14,                 1.0387,                0.64629,                 1.2092,                0.88823,                0.89469,                0.92491,                0.71846,                0.99089,                0.54428,                 1.1791,               0.000267,               0.000267,               0.000267
                     15,                  1.031,                0.63594,                 1.2109,                 0.8625,                0.90378,                 0.9179,                0.70901,                0.99753,                 0.5638,                 1.1941,               0.000264,               0.000264,               0.000264
                     16,                 1.0144,                0.62869,                 1.1931,                0.90459,                0.91717,                0.93359,                0.71552,                0.97471,                0.53711,                 1.1613,               0.000261,               0.000261,               0.000261
                     17,                 1.0017,                0.61207,                 1.1828,                0.87805,                0.91965,                0.93469,                0.72532,                0.97574,                0.53786,                 1.1634,               0.000258,               0.000258,               0.000258
                     18,                0.99703,                 0.6066,                 1.1864,                0.88846,                0.93193,                0.93388,                0.72036,                0.98941,                0.52872,                 1.1738,               0.000255,               0.000255,               0.000255
                     19,                0.99074,                0.59902,                 1.1798,                0.87104,                 0.9071,                 0.9251,                0.71668,                0.99217,                0.53283,                 1.1738,             0.00025201,             0.00025201,             0.00025201
                     20,                0.99139,                0.60114,                 1.1774,                0.88906,                0.90323,                 0.9211,                 0.7092,                0.97704,                0.53489,                 1.1588,             0.00024901,             0.00024901,             0.00024901
                     21,                0.97686,                0.58035,                 1.1697,                0.89532,                0.91177,                0.93389,                0.71853,                0.98331,                0.52042,                 1.1787,             0.00024601,             0.00024601,             0.00024601
                     22,                0.96725,                0.57984,                 1.1737,                0.87059,                0.91652,                0.93457,                0.73134,                0.96466,                0.51559,                  1.168,             0.00024301,             0.00024301,             0.00024301
                     23,                0.96411,                0.57499,                 1.1651,                0.89945,                0.92117,                0.93585,                 0.7249,                0.99748,                0.53167,                 1.1875,             0.00024001,             0.00024001,             0.00024001
                     24,                0.96162,                0.57397,                 1.1653,                0.86791,                0.94369,                0.94365,                0.73709,                0.97106,                 0.5011,                 1.1707,             0.00023701,             0.00023701,             0.00023701
                     25,                0.94786,                0.55623,                 1.1559,                0.88047,                0.92808,                0.93793,                 0.7333,                0.98056,                0.49645,                 1.1832,             0.00023401,             0.00023401,             0.00023401
                     26,                0.94211,                0.55907,                 1.1589,                0.88221,                0.93611,                0.94058,                0.73636,                0.97502,                0.48963,                  1.193,             0.00023101,             0.00023101,             0.00023101
