                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.86416,                0.49276,                 1.1007,                0.91784,                0.91976,                0.93856,                0.74928,                0.93115,                0.45198,                  1.126,             0.00020101,             0.00020101,             0.00020101
                     37,                0.86299,                0.49197,                 1.1039,                0.92458,                0.92305,                0.94138,                  0.752,                0.93519,                0.44903,                 1.1431,             0.00019801,             0.00019801,             0.00019801
                     38,                0.85908,                 0.4884,                 1.1004,                0.92226,                0.91776,                0.94244,                0.74277,                 0.9397,                0.46043,                 1.1387,             0.00019501,             0.00019501,             0.00019501
                     39,                0.85834,                0.48533,                 1.1013,                 0.8969,                 0.9217,                0.93776,                0.73684,                0.95414,                0.46896,                 1.1823,             0.00019201,             0.00019201,             0.00019201
                     40,                0.84813,                0.47548,                 1.0994,                0.91657,                0.93233,                0.94515,                0.74782,                0.94055,                0.44855,                 1.1402,             0.00018901,             0.00018901,             0.00018901
                     41,                0.85005,                0.47739,                 1.0975,                0.89371,                0.92626,                0.93461,                0.73892,                 0.9428,                0.47186,                 1.1519,             0.00018601,             0.00018601,             0.00018601
                     42,                0.84231,                0.47395,                 1.0955,                0.92816,                0.91859,                0.94556,                0.74941,                0.94404,                0.45038,                 1.1684,             0.00018301,             0.00018301,             0.00018301
                     43,                0.83123,                0.47131,                 1.0915,                0.92202,                0.91155,                0.94378,                0.75254,                0.93512,                0.44807,                 1.1591,             0.00018001,             0.00018001,             0.00018001
                     44,                 0.8279,                0.46802,                 1.0889,                0.91457,                  0.913,                 0.9371,                0.75069,                0.92712,                0.45678,                  1.154,             0.00017701,             0.00017701,             0.00017701
                     45,                 0.8201,                0.46441,                 1.0844,                 0.9209,                0.92376,                0.94305,                0.75828,                0.93347,                0.45919,                 1.1569,             0.00017401,             0.00017401,             0.00017401
                     46,                0.81118,                0.46049,                 1.0818,                0.90667,                0.93039,                0.94393,                 0.7575,                0.93381,                0.44863,                 1.1579,             0.00017101,             0.00017101,             0.00017101
                     47,                0.81759,                0.45818,                 1.0809,                0.91576,                0.91898,                0.93672,                0.74235,                0.94882,                0.46443,                 1.1687,             0.00016801,             0.00016801,             0.00016801
                     48,                0.81223,                0.45139,                 1.0756,                0.91717,                0.92163,                 0.9416,                0.74978,                0.95092,                0.46087,                 1.1661,             0.00016501,             0.00016501,             0.00016501
                     49,                0.80786,                0.45074,                 1.0779,                0.90559,                0.92917,                0.93732,                0.74064,                0.94941,                0.46234,                 1.1592,             0.00016201,             0.00016201,             0.00016201
                     50,                0.79752,                0.44612,                 1.0729,                0.90555,                0.92789,                0.93819,                0.74839,                0.94375,                0.45849,                 1.1749,             0.00015901,             0.00015901,             0.00015901
                     51,                0.79907,                0.44812,                 1.0721,                0.92002,                0.92784,                0.94352,                0.74769,                0.94986,                0.44764,                 1.1735,             0.00015601,             0.00015601,             0.00015601
                     52,                0.78985,                0.43758,                 1.0682,                0.90129,                0.93573,                0.93999,                0.75048,                0.94096,                0.44689,                 1.1814,             0.00015301,             0.00015301,             0.00015301
                     53,                0.78844,                0.43979,                 1.0666,                0.91878,                0.91405,                0.93235,                0.74169,                0.94687,                0.45821,                 1.1649,             0.00015002,             0.00015002,             0.00015002
