                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.73341,                 0.3627,                0.98614,                0.98658,                0.97078,                0.99025,                0.81975,                0.75264,                0.29019,                0.98401,               0.006535,               0.006535,               0.006535
                     38,                0.73362,                0.35959,                0.98511,                0.98797,                0.97585,                0.99207,                0.82271,                0.74936,                0.28556,                 0.9855,               0.006436,               0.006436,               0.006436
                     39,                0.72586,                0.35416,                0.97928,                0.98599,                0.97581,                0.99317,                0.82058,                0.75401,                0.28018,                0.97545,               0.006337,               0.006337,               0.006337
                     40,                0.72489,                0.35557,                0.97455,                0.99127,                 0.9747,                0.99202,                0.81653,                0.75117,                  0.284,                0.95927,               0.006238,               0.006238,               0.006238
                     41,                0.71906,                 0.3518,                0.97451,                0.99129,                0.97622,                0.99185,                0.82372,                0.74881,                0.28126,                0.97988,               0.006139,               0.006139,               0.006139
                     42,                 0.7147,                0.34972,                0.97736,                0.98877,                 0.9769,                0.99189,                0.82554,                0.74581,                0.27864,                0.98359,                0.00604,                0.00604,                0.00604
                     43,                0.71383,                0.34863,                0.97174,                0.99195,                0.97553,                0.99338,                0.82115,                0.74446,                0.27945,                0.96712,               0.005941,               0.005941,               0.005941
                     44,                0.70619,                0.34343,                0.97377,                0.99061,                0.97426,                0.99187,                0.82212,                0.74761,                0.28097,                0.98848,               0.005842,               0.005842,               0.005842
                     45,                0.70659,                0.34547,                0.97227,                0.99193,                0.97354,                0.99114,                0.82414,                0.74204,                 0.2793,                0.97904,               0.005743,               0.005743,               0.005743
                     46,                0.70217,                0.34228,                0.97257,                0.98718,                0.97888,                0.99292,                0.82452,                0.74409,                0.27732,                0.98261,               0.005644,               0.005644,               0.005644
                     47,                0.69633,                0.33989,                 0.9614,                0.99029,                0.97756,                0.99316,                0.82641,                0.74682,                0.27664,                0.96148,               0.005545,               0.005545,               0.005545
                     48,                0.69463,                0.33673,                 0.9664,                0.98863,                0.97822,                0.99103,                0.82629,                0.74733,                0.27558,                0.97989,               0.005446,               0.005446,               0.005446
                     49,                 0.6896,                0.33636,                0.96336,                0.98796,                0.97954,                0.99341,                0.82668,                0.74324,                0.27612,                0.97452,               0.005347,               0.005347,               0.005347
                     50,                0.68494,                0.33308,                 0.9592,                0.98798,                0.97645,                0.99191,                0.82694,                0.73974,                0.27593,                0.96759,               0.005248,               0.005248,               0.005248
                     51,                0.68253,                0.33421,                0.96079,                0.99432,                0.97822,                0.99193,                0.82958,                 0.7401,                0.27316,                0.96763,               0.005149,               0.005149,               0.005149
                     52,                0.67673,                0.32965,                0.96002,                0.99196,                0.97667,                0.99194,                0.82675,                0.74258,                0.27634,                0.97828,                0.00505,                0.00505,                0.00505
                     53,                 0.6721,                0.32569,                0.95881,                0.99048,                0.97558,                0.99185,                0.82854,                0.74434,                0.27759,                0.98353,               0.004951,               0.004951,               0.004951
