                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1392,                0.71405,                 1.2701,                0.90188,                0.90716,                0.94784,                0.64044,                 1.1777,                0.69647,                 1.3302,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.2095,                0.68786,                  1.297,                0.88107,                0.86696,                0.93161,                0.62564,                 1.1761,                0.73547,                 1.3529,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.1423,                0.67144,                 1.2814,                0.90057,                0.88085,                0.94895,                0.64503,                 1.1346,                0.67352,                 1.3444,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.1566,                0.68485,                  1.261,                0.87366,                0.95262,                0.95856,                0.63589,                 1.1794,                 0.6613,                 1.3809,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.2143,                0.71129,                 1.3021,                0.90993,                0.90716,                0.93689,                0.60917,                  1.189,                0.65479,                 1.3968,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.1251,                 0.6818,                 1.2773,                0.85776,                 0.9308,                0.93841,                0.62312,                 1.1476,                 0.6221,                 1.3395,              0.0010399,              0.0010399,              0.0010399
                     41,                   1.19,                0.64893,                  1.278,                 0.8975,                 0.9057,                0.93469,                 0.6415,                 1.1334,                0.65285,                 1.3261,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.1281,                0.68877,                 1.2443,                0.89437,                 0.9057,                0.93051,                0.64472,                 1.1125,                0.68607,                 1.3211,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.1043,                0.67642,                 1.2439,                0.90253,                0.93118,                0.94054,                0.63578,                 1.1188,                0.62036,                 1.3118,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.1056,                0.67185,                   1.25,                0.91446,                0.94358,                0.95777,                0.63789,                 1.1018,                0.59071,                 1.3016,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.1355,                0.67651,                 1.2606,                0.89933,                0.92377,                0.95486,                0.65115,                 1.1255,                0.59917,                 1.3156,             0.00095736,             0.00095736,             0.00095736
                     46,                  1.085,                0.66694,                 1.2503,                0.85478,                 0.9116,                0.93332,                 0.6584,                 1.1018,                 0.6419,                 1.3139,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.1031,                0.63737,                 1.2374,                0.88994,                0.86085,                0.93942,                0.67029,                 1.1451,                0.69049,                 1.3345,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.1504,                0.63862,                  1.247,                0.90038,                0.90957,                0.93656,                0.66491,                 1.0699,                0.62469,                 1.3135,             0.00090785,             0.00090785,             0.00090785
