                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3418,                 1.4611,                 1.7315,                0.69758,                0.62395,                0.73651,                 0.3974,                 1.6129,                 1.8691,                 2.1549,             0.00066298,             0.00066298,             0.00066298
                      2,                 1.3273,                 1.0399,                 1.6568,                 0.9065,                0.85246,                0.92871,                0.43675,                  1.661,                 1.3419,                 2.2771,              0.0013165,              0.0013165,              0.0013165
                      3,                 1.3154,                 1.0022,                 1.6441,                0.94956,                0.92578,                0.95209,                0.46112,                 1.7632,                 1.1078,                 2.4082,              0.0019568,              0.0019568,              0.0019568
                      4,                 1.2605,                0.94804,                  1.598,                0.93177,                0.94262,                0.94692,                0.35557,                 2.1451,                0.91884,                 2.8322,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2061,                0.89203,                 1.5603,                0.97287,                0.94262,                0.96269,                0.52737,                 1.5795,                0.71265,                 2.2404,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.1432,                0.81497,                 1.5064,                0.94019,                0.90197,                0.94301,                0.48992,                 1.6677,                0.79444,                 2.2653,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.0983,                0.77444,                 1.4753,                 0.8825,                0.88525,                0.89337,                  0.434,                  1.739,                0.93581,                 2.3266,               0.001901,               0.001901,               0.001901
                      8,                 1.0621,                0.73042,                 1.4384,                0.94005,                0.95902,                0.95668,                0.61154,                 1.3189,                0.63405,                 1.7966,              0.0018812,              0.0018812,              0.0018812
                      9,                  1.049,                0.71389,                 1.4232,                0.96759,                0.95902,                0.97809,                0.68149,                 1.1208,                0.55939,                 1.6354,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0008,                0.68554,                 1.3984,                0.98277,                0.97541,                0.98051,                0.68376,                 1.1099,                0.50406,                 1.6294,              0.0018416,              0.0018416,              0.0018416
                     11,                 0.9714,                0.65417,                 1.3748,                0.97228,                0.97541,                0.97461,                0.72095,                 1.0353,                0.50175,                 1.5105,              0.0018218,              0.0018218,              0.0018218
                     12,                0.97171,                0.65392,                 1.3741,                0.98256,                0.97541,                0.97643,                0.58213,                  1.488,                 0.6247,                 2.0339,               0.001802,               0.001802,               0.001802
                     13,                 0.9607,                0.63438,                 1.3639,                0.95918,                0.96721,                0.97837,                0.67967,                   1.15,                 0.5089,                 1.6561,              0.0017822,              0.0017822,              0.0017822
                     14,                0.92714,                0.60728,                 1.3337,                 0.9846,                0.97541,                0.98364,                0.73885,                 1.0576,                0.50783,                 1.5914,              0.0017624,              0.0017624,              0.0017624
                     15,                0.91084,                0.58743,                 1.3257,                0.99086,                0.97541,                0.98453,                0.72202,                 1.0309,                0.46664,                 1.5318,              0.0017426,              0.0017426,              0.0017426
                     16,                 0.8962,                0.58375,                 1.3214,                0.99166,                0.97504,                0.98025,                0.70464,                 1.0688,                0.46127,                 1.5754,              0.0017228,              0.0017228,              0.0017228
                     17,                 0.9146,                0.58772,                 1.3224,                0.98655,                0.97541,                0.98062,                0.60911,                 1.3951,                0.55609,                 1.9224,               0.001703,               0.001703,               0.001703
                     18,                0.87449,                0.55847,                 1.3066,                0.98184,                0.97541,                0.98231,                 0.7818,                0.83884,                0.44549,                 1.3168,              0.0016832,              0.0016832,              0.0016832
                     19,                0.86358,                0.56377,                 1.2989,                0.98765,                0.97541,                0.99085,                0.77139,                0.89728,                0.42674,                 1.3741,              0.0016634,              0.0016634,              0.0016634
                     20,                0.87097,                0.55376,                 1.3031,                0.98218,                0.97541,                0.97978,                0.67832,                 1.2067,                0.50568,                 1.7659,              0.0016436,              0.0016436,              0.0016436
                     21,                0.84229,                0.53334,                 1.2775,                0.99172,                0.98177,                0.99206,                0.74438,                0.99218,                0.43816,                 1.4716,              0.0016238,              0.0016238,              0.0016238
                     22,                 0.8425,                0.53628,                 1.2784,                0.99013,                0.97541,                0.98282,                0.77012,                0.87076,                0.43449,                 1.3544,               0.001604,               0.001604,               0.001604
                     23,                 0.8317,                0.52375,                 1.2648,                0.98137,                 0.9918,                0.99112,                0.77192,                0.90939,                0.42125,                 1.3962,              0.0015842,              0.0015842,              0.0015842
                     24,                0.83673,                0.52587,                 1.2736,                0.96745,                 0.9745,                0.98716,                0.74121,                0.95467,                0.48109,                 1.4343,              0.0015644,              0.0015644,              0.0015644
                     25,                 0.8115,                 0.5111,                 1.2612,                0.99123,                 0.9918,                   0.99,                0.79949,                0.84725,                0.39121,                 1.3135,              0.0015446,              0.0015446,              0.0015446
                     26,                0.81697,                0.50571,                 1.2563,                0.99055,                 0.9918,                 0.9891,                0.82366,                0.76778,                0.40338,                 1.2536,              0.0015248,              0.0015248,              0.0015248
                     27,                0.80837,                0.50172,                 1.2547,                0.99082,                 0.9918,                0.98943,                0.76534,                0.95095,                0.40274,                 1.4223,               0.001505,               0.001505,               0.001505
